Tara,PIB,PIBPerCapita,PIBRealPerCapita,SalariuMediu,ProcentSalariuMinim,RataSomaj,ExportProcentPIB,ImportProcentPIB,ExportImportRatio,CheltuieliRsiDProcentPIB,Regiune
Austria,397575300,44780,38170,3066.15,14.75,4.5,55.6,52.2,1.07,3.19,Europa de Vest
Belgia,476203300,41450,35940,3360.24,13.68,5.4,81.8,81.2,1.01,2.89,Europa de Vest
Bulgaria,61239500,8780,6840,607.61,21.41,4.2,64.2,61,1.01,.84,Europa Centrala si de Est
Cehia,223945000,20990,18330,1225.37,15.09,2,74.4,68.4,1.09,1.94,Europa Centrala si de Est
Cipru,22286900,25310,24570,1908.72,18.73,7.1,71.9,72.9,.97,.63,Europa de Sud
Croatia,54237900,13340,12450,1179.45,18.42,6.6,52,52.2,1.03,1.11,Europa Centrala si de Est
Danemarca,312747200,53760,49720,4472.95,8.69,5,58.3,51,1.11,2.96,Europa de Nord
Estonia,28112400,21220,15760,1371.79,21.95,4.4,72.9,68.9,1.05,1.61,Europa de Nord
Finlanda,240561000,43570,37170,3359.59,5.03,6.7,40.2,39.9, ,2.79,Europa de Nord
Franta,2425708000,35960,33270,2894.58,8.61,8.5,31.8,32.8,.97,2.19,Europa de Vest
Germania,3449050000,41510,35840,3348.97,20.68,3.1,46.9,41.1,1.17,3.17,Europa de Vest
Grecia,183413500,17100,17740, , ,17.3,40.1,41.7,.99,1.27,Europa de Sud
Irlanda,356051200,72260,60170,3759.86,19.78,5,126.1,113.8, ,.78,Europa de Vest
Italia,1789747000,29660,26920,2519.32,8.46,10,31.5,28.5,1.09,1.45,Europa de Sud
Letonia,30463300,15920,12510,1158.88,23.49,6.3,60.1,61,.99,.64,Europa de Nord
Lituania,48797400,17460,14010,969.55,22.33,6.3,77.5,72.2,1.03,.99,Europa de Nord
Luxemburg,63516300,102200,83640,4630.43,11.38,5.6,208.8,172.8, ,1.19,Europa de Vest
Malta,13462400,26670,21800,2106.7,15.51,3.6,143.3,129.1,1.17,.61,Europa de Sud
Olanda,810247000,46710,41870,3075.83,18.24,3.4,83.3,72.9,1.15,2.16,Europa de Vest
Polonia,532329200,13870,13000,1104.77,21.87,3.3,55.5,50.8,1.07,1.32,Europa Centrala si de Est
Portugalia,213301000,20740,18590,1292.73,3.95,6.5,43.5,43.3,1,1.4,Europa de Sud
Romania,223337400,11530,9120,951.3,20.01,3.9,40.4,44.2,.93,.48,Europa Centrala si de Est
Slovacia,93865200,17210,15860,1164.32,16.01,5.8,92.4,92,1.02,.83,Europa Centrala si de Est
Slovenia,48392600,23170,20700,1719.15,16.52,4.5,83.7,75.3,1.13,2.04,Europa Centrala si de Est
Spania,1244772000,26430,25200,2045.41,14.33,14.1,34.9,31.9,1.06,1.25,Europa de Sud
Suedia,474468200,46160,43900,3487.93,3.61,6.8,47.1,43.5,1.08,3.39,Europa de Nord
Ungaria,146061800,14950,13260,996.33,11.61,3.4,82.2,79.1,1.06,1.48,Europa Centrala si de Est
